id,observed_on,user_id,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,taxon_id
16786671,2018-09-21,2873,32.2428497581,-111.1677758621,Pima,Arizona,United States,Asterocampa leilia,148793
16786672,2018-09-21,2873,32.2428497581,-111.1677758621,Pima,Arizona,United States,Schistocerca albolineata,205713
16786673,2018-09-21,2873,32.2428497581,-111.1677758621,Pima,Arizona,United States,Libellula saturata,47817
16786674,2018-09-21,2873,32.2543838,-111.1972265,Pima,Arizona,United States,Tramea lacerata,52865
16786676,2018-09-21,2873,32.2543838,-111.1972265,Pima,Arizona,United States,Danaus gilippus,51743
16786677,2018-09-21,2873,32.2428497581,-111.1677758621,Pima,Arizona,United States,Phoebis sennae,48550
16787013,2018-09-21,275891,32.3367882204,-110.6927721047,Pima,Arizona,United States,Deloyala lecontii,479571
16787015,2018-09-21,275891,32.3367882204,-110.6927721047,Pima,Arizona,United States,Tragidion densiventre,472882
16787019,2018-09-21,275891,32.3366885058,-110.6923322225,Pima,Arizona,United States,Pseudovates arizonae,335531
16793217,2018-09-21,275891,32.3371341977,-110.6912553822,Pima,Arizona,United States,Libytheana carinenta,58561
16793222,2018-09-21,275891,32.3371341977,-110.6912553822,Pima,Arizona,United States,Euphoria leucographa,267075
16793223,2018-09-21,275891,32.3371341977,-110.6912553822,Pima,Arizona,United States,Melanoplus differentialis,63518
16793225,2018-09-21,275891,32.3371341977,-110.6912553822,Pima,Arizona,United States,Hermetia concinna,294716
16793227,2018-09-21,275891,32.3371341977,-110.6912553822,Pima,Arizona,United States,Anthonomus grandis thurberiae,780628
16793896,2018-09-18,488232,31.8988571417,-109.1623812439,Cochise,Arizona,United States,Battus philenor,49972
16795874,2018-09-22,554779,31.46221432,-110.25738148,Cochise,Arizona,United States,Manduca quinquemaculata,118558
16795911,2018-09-21,275891,32.3095868106,-110.7211951504,Pima,Arizona,United States,Obolopteryx brevihastata,780565
16795915,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Scudderia mexicana,153211
16795918,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Insara elegans,293640
16795919,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Conocephalus strictus,142708
16795923,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Orchelimum unispina,256576
16795926,2018-09-21,275891,32.337613131,-110.6909327628,Pima,Arizona,United States,Amblycorypha insolita,129390
