siteID,State,year,sitevisits
37864,CT,2020,13
38296,CT,2020,8
6209,DC,2018,1
9511,DC,2018,2
24793,DC,2020,14
24793,DC,2019,10
24793,DC,2018,14
29913,DC,2020,6
29913,DC,2019,45
29913,DC,2018,36
29915,DC,2020,5
29915,DC,2019,12
29915,DC,2018,12
29916,DC,2020,9
29916,DC,2019,46
29916,DC,2018,29
29917,DC,2020,8
29917,DC,2019,13
29917,DC,2018,12
30755,DC,2019,1
31254,DC,2020,3
31254,DC,2019,1
31255,DC,2020,1
31255,DC,2019,1
31256,DC,2020,4
31256,DC,2019,1
31257,DC,2020,1
31257,DC,2019,1
31258,DC,2020,2
31258,DC,2019,1
31259,DC,2020,1
31259,DC,2019,1
31260,DC,2020,1
31260,DC,2019,1
31261,DC,2020,2
31261,DC,2019,1
31262,DC,2019,1
34068,DC,2020,9
34068,DC,2019,5
35961,DC,2020,2
38057,DC,2020,1
39172,DC,2020,1
28549,DE,2019,2
28549,DE,2018,5
30736,DE,2018,1
